paramID,beta0,sigma0,kappa,delta,omega,gamma,rho,nPulse,theta,Nall,tc,tau,A
17,1.6347e-02,7.2763e-04,1.4386e+00,5.8962e-04,2.5131e-03,6.3353e-05,1.60470,92,0.95585,1,"262.4|676.3|711.8|63.14|677.5|83.72|639.6|292.7|419.7|14.82|580.5|208.5|252.5|646.5|711.4|110.4|588.9|257.2|447.2|418.4|281.5|180.8|354.7|617.6|443.7|512.6|344.5|326.9|13|177|402.5|75.28|129|56.36|118.5|689.1|335.3|128.7|133.9|458.5|408.2|259.3|282.4|202.3|188.8|291.4|94.47|52.58|278.1|58.1|232.9|639.1|276.6|135|239.8|239.2|462.6|101.7|240.9|95.46|264.8|80.17|196.8|53.24|291.2|469|33.45|469.5|169.9|214.9|535.5|91.8|504.2|410.2|235.2|338.9|584.2|506.2|553.3|288.3|446.6|291|84.6|105.1|563.5|222.2|3.495|357|188|126.7|476.5|403.2","7.362|0.1766|5.291|0.4461|0.1686|4.719|3.099|0.9365|0.54|2.351|1.159|0.5055|10.11|7.123|10.59|11.28|0.5044|0.8309|0.3916|1.85|1.024|1.08|0.4236|8.911|0.8527|0.5776|0.9765|1.065|7.891|0.601|1.159|2.782|0.6726|0.5572|0.8179|9.745|3.995|0.1674|1.739|0.8787|2.415|5.336|9.108|0.4556|0.8652|1.69|1.654|0.7839|8.448|1.236|0.4309|1.775|0.8736|2.468|0.6459|0.534|10.95|0.9007|0.5917|0.7946|9.772|1.419|1.127|0.2462|3.164|0.3322|7.744|0.2373|6.005|0.3719|0.8992|0.2386|5.737|0.1727|0.3031|1.099|1.364|0.5351|2.592|7.858|0.2069|0.6612|2.51|1.13|2.086|11.72|11.21|1.499|4.28|8.335|1.443|0.6802","0.000451|0.5977|0.0009836|0.008182|0.09839|2.775|77.52|1.354|0.03493|0.001046|7.716|0.01042|0.0003849|0.4357|0.0001422|0.0001818|5.346|0.01157|1.964|0.0004332|5.224|0.009062|12.41|0.00356|0.014|0.0002599|0.0005843|0.000847|0.00567|0.3655|43.33|0.8808|0.06258|72.16|0.001827|0.004586|0.0005837|14.31|59.07|0.01147|2.158|0.0002396|0.0001031|0.1069|55.01|0.06068|4.264|8.083|9.46|3.233|0.0001783|0.1074|0.005086|3.98|0.0003932|2.675|0.1917|0.3203|35.65|5.549|0.0001268|54.68|0.0002511|0.001649|0.00114|0.3803|0.2612|0.3967|0.0458|68.11|3.088|0.001796|0.000262|2.193|0.0128|0.04368|0.9004|0.0002292|0.001649|0.0003972|0.003952|0.0001303|0.1297|0.0001949|9.723|2.076|93.94|0.0001389|0.0005085|64.88|12.01|0.001074"
18,8.6309e-01,1.9071e-03,2.4401e-01,2.2824e-01,1.5347e-02,2.4639e-03,2.15748,58,0.20339,1,"261.7|177|78.33|635|79.77|233.5|481.3|169.9|439.9|92.84|202.4|558.6|635.4|373.4|185.3|140.4|256.6|581.5|646.9|609.7|347.3|233.6|190.7|132.8|576.8|675.9|631.2|168.6|218.7|599|112.3|312.4|261.7|10.91|448.4|447.9|384.1|622.1|365.3|593.6|647.9|125.8|347.3|439.8|506|462.8|104.4|58.28|72.6|382.2|168.2|403.8|456.3|546.7|221.5|430.8|385.8|25.35","0.9627|4.641|0.2513|0.3752|0.5002|4.973|0.4845|0.6139|0.4837|1.16|0.973|1.575|0.3864|2.809|10.8|1.866|5.296|0.1675|1.503|0.1679|8.067|0.2187|8.606|0.2093|3.097|10.03|0.3611|7.411|0.2662|0.3718|5.052|0.3385|0.5531|0.2565|3.253|0.9775|0.3166|0.7144|10.84|1.582|1.247|0.7937|1.219|1.176|4.053|4.184|8.433|0.1852|7.618|7.876|1.33|1.228|5.389|1.99|0.5093|0.2597|0.186|0.7355","0.4706|0.01551|0.0001978|0.006137|6.493|0.9891|9.684|0.0005516|0.578|2.725|0.0001356|17.48|0.7295|0.0002933|0.06072|0.2493|0.03043|0.008214|3.116|0.02405|0.03186|38.04|0.002408|63.95|0.09824|0.2489|0.06976|0.4815|0.06205|3.232|52.49|3.154|0.0001944|0.0008781|0.0001161|0.3184|0.06027|0.0006703|0.227|16.62|0.01628|0.1831|0.006356|0.009289|0.3967|2.356|31.02|0.02483|0.4442|0.2379|0.001271|0.0118|0.3214|0.597|0.002423|4.7|0.6436|22.89"
19,1.0059e-03,9.0245e-01,2.7906e-01,1.6605e-04,4.9138e-01,3.2313e-05,1.17745,3,0.13872,1,"179|654.9|328","8.808|4.41|1.099","0.08284|32.11|0.0001189"
20,2.2486e-01,3.2408e-04,2.1700e+00,5.1697e-02,1.0553e-01,1.2513e-03,1.03211,4,0.34655,1,"51.58|266.4|394.4|693.1","1.54|0.4484|7.139|0.2106","28.03|29.31|0.2292|3.585"
21,5.1587e-01,4.9369e-04,1.8481e+00,1.1565e-03,2.0646e-02,6.9139e-05,12.67885,80,0.04112,1,"122.9|220.9|56.62|69.37|639|333|111.1|372.5|202.1|661.4|156.6|21.02|539.4|708.6|206.2|413.7|286.4|31.41|401.8|200.9|653.9|234.5|171.9|613.8|216.5|288.2|423.1|139|560.5|22.58|339.8|46.55|198.3|515.1|664.7|276.4|299.7|500.3|359|669.7|584.5|362|337.2|87.61|184.1|419.8|353.8|509.6|565.2|697.5|53.89|184.7|643|550.9|37.86|289.3|566.2|589.7|43.79|108.1|698.1|142.2|585.6|668.7|244.7|392.2|509.7|590.3|95.03|223.9|443.1|153.4|628|597.3|699.2|8.376|167.5|137.5|471.2|613.3","0.2569|8.557|9.276|1.242|0.5142|0.6941|0.1949|3.885|11.45|4.239|0.4319|0.7111|1.896|3.985|3.334|6.16|1.579|0.5391|9.286|2.29|1.841|0.861|0.5827|7.02|4.199|0.6312|3.568|3.911|0.3664|4.707|0.5894|11.05|3.482|1.174|1.079|10.81|5.906|1.628|0.2435|2.906|3.092|0.1742|0.2796|0.3927|2.433|0.9798|1.01|2.452|1.973|0.7224|6.031|6.098|0.3121|4.006|10.08|2.89|0.8559|0.3582|11.04|5.825|0.4156|3.207|0.3531|0.3181|1.37|2.423|0.3383|2.383|0.244|0.3183|0.3268|0.182|0.4212|2.519|3.426|8.661|2.021|0.1804|0.6787|10.84","0.02179|0.006935|28.82|27.58|1.723|0.001816|0.00138|0.0002481|0.01319|4.799|3.238|0.01459|30.02|0.013|27.69|10.88|0.001062|0.0008056|4.743|77.57|0.3661|0.003937|6.893|0.2073|0.02193|0.06557|0.001563|0.2442|0.006554|13.31|11.38|0.002056|0.1157|0.008517|0.01003|92.31|5.362|1.333|0.0002998|0.0183|0.003527|0.0003375|0.1454|96.15|0.002748|58.54|0.005972|77.81|0.03761|6.234|0.124|46.74|0.000144|0.01727|0.5213|0.0008764|0.1865|0.8774|0.3379|22.23|90.52|1.812|1.479|2.288|11.77|0.01037|3.946|0.02917|0.2039|15.03|0.1073|32.46|0.1256|0.002065|0.001848|0.0001149|0.003214|0.003311|24.68|5.546"
22,4.1229e-03,4.6935e-02,1.1810e-01,5.6935e-02,5.1637e-04,3.9008e-04,1.27530,60,0.01216,1,"191.1|27.36|64.57|226.8|346.3|365.3|541.6|415.8|561.5|172.5|85.84|673|257.6|178.4|75.28|412.7|149.4|446.5|357.6|116|426.2|498|672.5|0.3947|446.5|467.9|79.97|214.2|48.28|212.7|137.6|520.8|592|553|190|260.8|33.4|385.3|44.85|148.4|293.9|554.9|510.8|219.8|579.2|209.3|699.8|222|486.8|383.2|628.6|243.1|59.25|655.6|362.5|641.7|381.3|140.5|214.4|478.7","0.9037|0.6819|0.3698|1.395|0.2682|9.102|0.3838|1.23|2.449|0.2901|3.855|1.501|0.2553|0.5863|4.926|10.24|4.086|1.133|6.867|1.365|3.837|3.597|1.571|2.316|1.147|0.8863|6.358|7.466|0.3682|0.4307|1.163|1.467|2.112|0.5634|1.216|2.756|0.196|0.6033|1.76|1.141|6.301|1.529|0.5806|3.696|0.4581|0.5005|1.69|0.1799|1.55|7.718|0.5532|11.96|0.4841|0.267|5.291|0.4252|2.558|0.8766|0.2343|0.9914","0.0005339|3.076|21.27|0.0007973|0.001801|22.44|17.99|0.05401|0.1034|0.0008862|0.0001225|0.1343|0.000132|0.6425|0.2181|0.007758|66.76|0.007478|0.0002533|3.381|0.02074|0.001672|10.86|0.1109|0.3887|0.00151|10.87|74.58|0.01076|0.003054|76.63|51.49|0.02155|1.075|23.95|0.09746|67.24|19.39|0.3679|0.0361|12.94|0.0002829|8.953|42.86|0.01477|0.001657|19.87|0.003897|0.01224|0.1886|15.09|0.002624|0.007415|0.003561|0.0001585|7.726|3.306|74.68|0.000116|12.15"
23,7.2653e-01,1.1863e-02,1.1751e+00,2.9728e-04,1.5893e-02,2.8672e-02,206591.62787,22,0.97677,1,"512.3|273.4|117.9|47.07|64.27|49.59|266.2|362.6|108.9|141.7|264.6|714|333.6|664.1|494.9|644.2|335.4|709.2|112.6|102.4|330.3|404.5","0.4442|10.12|11.7|0.4595|0.2352|0.2118|0.3044|2.517|0.1817|1.382|1.213|0.1762|0.9206|0.5861|0.2076|10.92|5.85|6.401|4.142|5.958|0.4368|0.393","0.009603|0.3218|0.06523|15.77|56.88|29.05|0.0001389|0.2325|0.04644|0.02072|0.05034|0.004907|0.0001653|0.00102|3.306|0.001724|22.47|8.078|3.026|0.08106|0.00118|7.587"
24,3.5930e-01,7.1893e-03,7.2575e-01,2.7543e-03,8.0889e-03,2.3515e-04,2258.25438,5,0.90950,1,"493.2|459.8|551.1|607|715","2.359|9.179|1.555|1.959|1.554","2.468|0.0002832|0.003934|33.31|0.0001993"
25,3.2486e-01,2.2143e-03,2.5943e+00,1.9781e-04,1.2761e-04,5.3375e-04,70.89240,44,0.90498,1,"535.9|641.9|329.9|227.9|262.1|699.6|60.57|467.5|262.6|263.5|686.4|207.6|262.5|166.3|61.57|52.92|295.9|524.1|3.165|379.9|332.6|128.8|603.3|216.9|290.1|274.2|613.1|100.1|99.07|546.2|152.9|65.31|74.74|112.6|37.92|315.7|648.5|253|394.8|275.9|204.1|628.4|500.8|56.8","0.2952|1.411|8.957|5.227|3.417|11.67|0.1949|1.648|3.918|0.2604|2.303|0.192|4.816|3.251|9.785|0.1968|2.358|4.463|0.3347|2.294|0.2085|7.129|8.488|0.6201|0.2945|0.2796|4.447|0.2121|0.2656|0.2344|3.247|2.356|0.4012|1.615|0.6902|0.6404|0.5428|0.1684|1.758|5.082|4.692|7.812|7.996|1.495","0.02207|71.4|0.4723|0.01111|0.1691|0.003537|0.0005295|58.87|0.04386|0.3503|0.09358|6.272|2.685|0.3332|0.4275|11.21|2.396|1.01|0.006418|3.141|2.136|43.77|0.001688|2.023|0.003424|1.266|0.003765|0.5006|20.88|1.317|0.4575|0.0001177|0.06875|0.000894|0.1034|1.108|0.142|2.346|0.02122|2.21|0.01016|1.75|0.16|0.002537"
26,5.2158e-03,3.1066e-01,1.1927e-01,4.7313e-04,8.9225e-04,5.1638e-04,2.17142,86,0.22940,1,"540.7|636.2|62.95|663.3|226.2|588.8|303.7|622.4|70.09|14.38|431.7|530|283.6|421.7|225.4|409.3|409.5|311.7|353.1|162|99.29|688.2|10.32|178.6|531.3|497.1|288.7|165|504.6|352.6|250.1|541.9|302.9|682|32.02|299.7|669.9|58.37|476.1|475.6|150.5|312.6|484|402.1|405.5|207.9|560.9|543.5|158.7|367|87.68|451|368.3|191.6|205.5|407.1|638|619.8|180.1|679.1|447|627.7|307.2|689.3|427.4|538.2|527|25.15|238.1|703.7|80.29|544.4|718|183.4|107.3|104.1|142.2|53.13|426.4|651.5|331.8|346|646.6|41.85|681.1|442.5","4.522|5.31|4.015|0.475|6.024|2.267|0.3881|7.041|0.6399|1.152|0.2249|2.937|2.098|0.5621|6.152|3.215|6.106|2.268|11.64|0.6571|3.809|0.7308|1.492|3.771|2.395|3.04|0.1681|1.515|0.5258|0.2325|0.9502|0.4682|0.2591|3.4|3.817|3.877|1.246|0.2103|0.4728|4.525|6.853|0.3103|4.42|2.579|2.132|0.6938|4.906|3.917|2.897|0.345|0.8912|0.4195|0.4277|0.4416|6.824|0.7262|1.702|0.2894|4.665|9.729|0.1998|0.2867|10.96|4.061|0.7536|6.245|6.888|0.7275|1.887|0.987|0.3152|0.4812|11.05|0.1747|11.72|2.106|5.796|1.196|2.662|2.09|1.541|1.918|2.499|7.152|0.4142|1.374","16.53|0.7328|14.06|0.0001337|0.8425|0.3216|57.96|0.0006946|0.4699|14.72|0.006327|1.196|1.401|0.01086|0.03985|0.1415|2.504|0.0001476|0.005064|0.001034|9.616|0.0001802|1.505|0.8647|0.0003567|0.2317|34.23|0.0001951|0.2254|0.02158|1.34|78.5|0.004731|0.07742|0.001132|0.002426|0.03831|54.67|39.56|0.002887|0.06831|17.27|0.001241|1.35|97.36|17.88|0.1576|0.02187|0.0002054|75.06|1.134|0.01015|0.4963|0.4816|0.1716|0.5791|8.76|0.003522|7.513|0.005842|0.01245|11.41|0.04088|40.89|0.9595|0.0005628|76.76|58.65|0.02135|0.2793|0.04155|0.004252|0.07638|0.05743|24.71|0.02363|3.625|0.0003771|0.4212|0.006998|5.857|34.77|0.0006001|17.22|0.01056|0.01671"
27,1.0233e-03,4.3002e-02,2.1048e-01,1.8176e-03,1.4853e-04,5.3427e-05,1.16496,4,0.98035,1,"133.8|254|291.5|572","0.3205|1.314|2.875|5.854","0.000955|45.51|0.01441|24.97"
28,2.6316e-03,3.8973e-03,4.5814e-01,1.2224e-04,3.9643e-04,1.5026e-05,1.34395,7,0.05571,1,"195|336.8|12|119.4|403.2|575.1|5.464","0.7566|0.2829|0.2155|0.4171|1.269|0.5056|0.3508","0.004588|0.0001161|4.49|42.97|0.0001203|0.005753|0.002689"
29,3.6252e-01,8.0633e-03,2.2861e+00,4.7797e-02,5.0075e-03,3.6948e-02,4.17342,6,0.96247,1,"310.3|505.6|148.5|389.3|512.2|283","4.001|0.4166|0.6335|2.57|1.697|0.4749","0.02998|4.023|4.402|0.0005502|0.01043|12.84"
30,8.6792e-02,3.1390e-04,2.9996e+00,2.6393e-03,1.3613e-01,1.9502e-04,1.90150,11,0.91221,1,"481.3|390.5|597.7|211.4|296.9|521.7|178|426.5|331.9|442.9|14.05","0.3699|6.486|3.8|3.967|6.194|7.247|1.05|1.373|0.2559|0.2247|0.71","0.0004936|1.702|0.01047|0.04488|0.1466|1.312|0.1767|1.097|3.217|17.08|0.07608"
31,3.2368e-01,1.0118e-02,2.3346e-01,1.9998e-03,3.2873e-04,2.6140e-03,4490.97981,28,0.54672,1,"483.2|347.8|66.27|685.9|540.3|322.9|394.5|19.51|69.99|8.15|713|424.2|627.8|97.34|471.2|109.5|394.6|235.9|357|493|687.2|44.43|157.3|277.5|686.8|159.6|578.5|606.2","2.016|4.599|2.775|4.032|7.028|1.573|1.065|1.517|5.895|8.069|0.8184|0.3539|0.7464|0.2774|1.223|2.17|0.3345|5.273|2.127|6.355|1.003|9.407|4.254|10.78|0.7515|1.076|1.253|0.7293","4.079|0.0001877|3.57|2.297|0.3698|0.779|9.591|0.01267|83.87|45.93|54.11|0.0007222|0.001528|0.1488|0.01484|0.0001779|0.0002643|0.1197|0.0002721|0.006412|1.631|32.53|0.1878|19.81|0.003578|10.13|15.33|1.517"
32,1.5719e-02,1.2669e-02,1.9598e-01,4.6807e-02,1.7076e-04,1.6536e-05,1.70146,6,0.96014,1,"395.9|63.32|82.61|595.3|57.54|91.46","8.516|4.127|2.336|5.54|0.8678|0.2809","0.08092|0.0001171|0.003714|48.31|2.361|0.0002527"
